unique_item_no_A,images_atypical,plots_with_labels_A,colour,instructions
26A,26_spice_A_hi.png,all_plots/26_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
27A,27_spice_A_hi.png,all_plots/27_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
28A,28_spice_A_hi.png,all_plots/28_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
29A,29_spice_A_hi.png,all_plots/29_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
30A,30_spice_A_hi.png,all_plots/30_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
31A,31_spice_A_hi.png,all_plots/31_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
32A,32_spice_A_hi.png,all_plots/32_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
33A,33_spice_A_hi.png,all_plots/33_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
34A,34_spice_A_hi.png,all_plots/34_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
35A,35_spice_A_hi.png,all_plots/35_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
36A,36_spice_A_hi.png,all_plots/36_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
37A,37_spice_A_hi.png,all_plots/37_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
38A,38_spice_A_hi.png,all_plots/38_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
39A,39_spice_A_hi.png,all_plots/39_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
40A,40_spice_A_hi.png,all_plots/40_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
41A,41_spice_A_hi.png,all_plots/41_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
42A,42_spice_A_hi.png,all_plots/42_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
43A,43_spice_A_hi.png,all_plots/43_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
44A,44_spice_A_hi.png,all_plots/44_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
45A,45_spice_A_hi.png,all_plots/45_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
46A,1_spice_A_hi.png,all_plots/1_spice_A_hi.png,red,Please IGNORE the plot and set the slider to 0.
47A,2_spice_A_hi.png,all_plots/2_spice_A_hi.png,red,Please IGNORE the plot and set the slider to 0.
48A,3_spice_A_hi.png,all_plots/3_spice_A_hi.png,red,Please IGNORE the plot and set the slider to 0.
49A,4_spice_A_hi.png,all_plots/4_spice_A_hi.png,red,Please IGNORE the plot and set the slider to 1.
50A,5_spice_A_hi.png,all_plots/5_spice_A_hi.png,red,Please IGNORE the plot and set the slider to 1.
51A,6_spice_A_hi.png,all_plots/6_spice_A_hi.png,red,Please IGNORE the plot and set the slider to 1.
