,user_token,topic,vis_condition,post_clarity_0,post_clarity_1,post_clarity_2,post_clarity_3,post_clarity_ansT,post_clarity_start,post_correctness_0,post_correctness_1,post_correctness_2,post_correctness_ansT,post_correctness_start,post_topicInv_0,post_topicInv_1,post_topicInv_2,post_topicInv_3,post_topicInv_ansT,post_topicInv_start,post_CI_lower,post_CI_upper,post_attitude,pre_clarity_0,pre_clarity_1,pre_clarity_2,pre_clarity_3,pre_clarity_ansT,pre_clarity_start,pre_correctness_0,pre_correctness_1,pre_correctness_2,pre_correctness_ansT,pre_correctness_start,pre_topicInv_0,pre_topicInv_1,pre_topicInv_2,pre_topicInv_3,pre_topicInv_ansT,pre_topicInv_start,pre_CI_lower,pre_CI_upper,pre_attitude,pre_clarity,pre_correctness,pre_topic_involvement,post_clarity,post_correctness,post_topic_involvement,pre_attitude_adjusted,pre_attitude_strength,pre_attitude_uncertainty,post_attitude_adjusted,post_attitude_strength,post_attitude_uncertainty,attitude_difference,abs_attitude_difference,att_uncertainty_difference,abs_att_uncertainty_difference,mean_belief_change,mean_pre_belief_distance,mean_belief_uncertainty_change,count_vars,belief_diff_pre_belief_dist_mean,defensive_confidence,EB-feel,EB-evidence,EB-political
10,b3817e45-d8ae-47fb-b882-9d1a3ad7ae43,union,hop,8,9,8,9,1528,1.64765E+12,8,6,7,1775,1.64765E+12,5,5,5,5,1365,1.64765E+12,1,7.97438103,8.973078381,7,8,7,8,1873,1.64765E+12,3,4,3,1807,1.64765E+12,4,4,5,5,1655,1.64765E+12,1,6.013171014,8.177015275,7.5,3.333333333,18,8.5,7,20,3.177015275,3.177015275,5.013171014,3.973078381,3.973078381,6.97438103,0.796063106,0.796063106,1.961210016,1.961210016,0.118265755,0.272032897,-0.00232133,6,0.741468838,53,2,5,4.25
11,b3817e45-d8ae-47fb-b882-9d1a3ad7ae43,covid,hop,9,9,9,9,1313,1.64765E+12,9,9,9,1847,1.64765E+12,5,5,5,5,1288,1.64765E+12,1,8.842813509,8.987552256,9,9,9,9,1158,1.64765E+12,9,9,9,1615,1.64765E+12,5,5,5,5,1190,1.64765E+12,1,8.842813509,8.973078381,9,9,20,9,9,20,3.973078381,3.973078381,7.842813509,3.987552256,3.987552256,7.842813509,0.014473875,0.014473875,0,0,0.2749829,0.677807778,-0.144815158,6,0.360352009,53,2,5,4.25
12,5bd3b577-66ca-40c4-87ca-3fa835b6b671,covid,scatter,9,9,9,9,1555,1.64765E+12,9,4,9,3220,1.64765E+12,4,5,1,1,1318,1.64765E+12,1,8.941576289,1.018407326,9,9,9,9,1301,1.64765E+12,9,7,9,1248,1.64765E+12,4,5,1,1,1393,1.64765E+12,1,8.961584292,1.008403325,9,8.333333333,11,9,7.333333333,11,-3.991596675,3.991596675,7.961584292,-3.981592674,3.981592674,7.941576289,0.010004002,0.010004002,-0.020008003,0.020008003,0.073670454,1.025284448,-0.047683977,6,0.069002386,57,5,2.5,3.5
13,5bd3b577-66ca-40c4-87ca-3fa835b6b671,union,scatter,9,9,9,9,1061,1.64765E+12,6,5,6,983,1.64765E+12,2,3,2,2,1892,1.64765E+12,2.519007872,8.981592295,5.750300083,9,9,9,9,1719,1.64765E+12,7,7,9,1298,1.64765E+12,3,4,2,2,1163,1.64765E+12,2.949179941,8.95158029,5.950380115,9,7.666666667,11,9,5.666666667,9,0.950380115,0.950380115,6.00240035,0.750300083,0.750300083,6.462584423,-0.200080032,0.200080032,0.460184074,0.460184074,0.110407093,0.270952803,-0.032949278,6,0.487714858,57,5,2.5,3.5
14,214f0ecb-3c6a-4b81-bbb4-8acc7917d759,union,uncertainty,9,9,9,9,881,1.64765E+12,9,9,9,1253,1.64765E+12,5,4,3,3,895,1.64765E+12,,,8.985968705,9,9,9,9,1121,1.64765E+12,9,9,9,936,1.64765E+12,5,3,4,4,1496,1.64765E+12,,,8.950537869,9,9,16,9,9,15,3.950537869,3.950537869,,3.985968705,3.985968705,,0.035430837,0.035430837,,,0.805978583,0.743624826,-0.244803838,6,1.211299327,49,2.75,5,2
15,214f0ecb-3c6a-4b81-bbb4-8acc7917d759,covid,uncertainty,9,9,9,9,960,1.64765E+12,9,9,9,1704,1.64765E+12,5,5,5,5,1012,1.64765E+12,8.915107032,8.968253287,8.94168016,9,9,9,9,1145,1.64765E+12,9,9,9,1364,1.64765E+12,5,5,5,5,1384,1.64765E+12,,,8.968253287,9,9,20,9,9,20,3.968253287,3.968253287,,3.94168016,3.94168016,0.053146255,-0.026573127,0.026573127,,,0.788243694,0.839437874,0.081573167,6,1.07876502,49,2.75,5,2
16,b0a9b1e8-e847-4976-ab17-99db2494f88c,union,uncertainty,8,8,8,8,3074,1.64765E+12,8,8,8,2112,1.64765E+12,3,4,4,3,2299,1.64765E+12,8.356519839,8.479910047,8.418214943,8,8,8,8,2339,1.64765E+12,8,8,8,2190,1.64765E+12,3,3,4,3,2131,1.64765E+12,8.572452703,8.860363189,8.716407946,8,8,13,8,8,14,3.716407946,3.716407946,0.287910486,3.418214943,3.418214943,0.123390208,-0.298193003,0.298193003,-0.164520277,0.164520277,0.209843697,0.263971854,-0.11376748,6,0.854549158,39,3.75,4.75,3
17,b0a9b1e8-e847-4976-ab17-99db2494f88c,covid,uncertainty,9,9,9,9,2119,1.64765E+12,9,9,9,1928,1.64765E+12,4,4,5,5,1755,1.64765E+12,1,8.819233119,8.93234081,9,9,9,9,1616,1.64765E+12,9,9,9,1501,1.64765E+12,4,4,5,5,1902,1.64765E+12,,,8.880928223,9,9,18,9,9,18,3.880928223,3.880928223,,3.93234081,3.93234081,7.819233119,0.051412587,0.051412587,,,0.132967911,0.333924039,-0.035835173,6,2.124650597,39,3.75,4.75,3
18,986708bb-37e6-4ba8-8040-69e0d3546bdb,covid,hop,6,7,5,6,2297,1.64765E+12,6,5,4,2150,1.64765E+12,4,3,2,2,998,1.64765E+12,1,7.750569172,8.446496363,6,7,7,5,1992,1.64765E+12,4,6,5,1487,1.64765E+12,2,2,2,4,1854,1.64765E+12,1,6.28490401,8.087988416,6.25,5,10,6,5,11,3.087988416,3.087988416,5.28490401,3.446496363,3.446496363,6.750569172,0.358507946,0.358507946,1.465665162,1.465665162,0.232256102,0.277643631,-0.054506198,6,1.834169878,36,3.75,2.75,2.75
19,986708bb-37e6-4ba8-8040-69e0d3546bdb,union,hop,5,4,3,5,1878,1.64765E+12,5,4,4,1663,1.64765E+12,1,1,1,1,1181,1.64765E+12,1,8.910447823,4.829783522,2,3,1,1,1390,1.64765E+12,3,4,5,1429,1.64765E+12,1,1,1,1,905,1.64765E+12,2.520570733,7.307705932,4.914138333,1.75,4,4,4.25,4.333333333,4,-0.085861667,0.085861667,4.787135199,-0.170216478,0.170216478,7.910447823,-0.084354811,0.084354811,3.123312624,3.123312624,0.17897708,0.37496663,-0.326455287,6,2.222919114,36,3.75,2.75,2.75
20,64599a2b-6cab-42d0-8370-c9955871d749,covid,hop,9,9,9,9,1675,1.64765E+12,8,7,7,1981,1.64765E+12,5,4,1,5,1684,1.64765E+12,1,1.374275171,1.040421346,8,9,9,9,1969,1.64765E+12,8,7,8,1810,1.64765E+12,5,5,1,4,4003,1.64765E+12,1,1.93428811,1.018882389,8.75,7.666666667,15,9,7.333333333,15,-3.981117611,3.981117611,0.93428811,-3.959578654,3.959578654,0.374275171,0.021538958,0.021538958,-0.560012939,0.560012939,0.596565269,0.639750527,-0.10164038,6,1.178783633,43,3.75,4,4.75
21,64599a2b-6cab-42d0-8370-c9955871d749,union,hop,6,7,6,7,2253,1.64765E+12,7,5,6,1858,1.64765E+12,4,2,1,2,1919,1.64765E+12,1,2.508503479,1.301020486,9,9,9,9,2030,1.64765E+12,9,9,9,4159,1.64765E+12,4,5,1,1,1760,1.64765E+12,1.374275212,2.300450389,1.8373628,9,9,11,6.5,6,9,-3.1626372,3.1626372,0.926175177,-3.698979514,3.698979514,1.508503479,-0.536342314,0.536342314,0.582328302,0.582328302,0.524252847,0.49305394,-0.106895248,6,3.948605257,43,3.75,4,4.75
22,f6f51d3f-24eb-4de7-9f43-f4cb89b9e75d,covid,uncertainty,7,5,6,7,2010,1.64765E+12,5,5,5,1530,1.64765E+12,3,2,2,3,1304,1.64765E+12,7.320648536,8.336554751,7.828601644,8,7,8,9,2079,1.64765E+12,7,8,7,1401,1.64765E+12,3,3,2,3,1686,1.64765E+12,1,2.420395026,7.908280563,8,7.333333333,11,6.25,5,10,2.908280563,2.908280563,1.420395026,2.828601644,2.828601644,1.015906215,-0.079678919,0.079678919,-0.404488811,0.404488811,0.548802308,0.91588612,0.498264956,6,0.499281979,38,3,3.25,2.75
23,f6f51d3f-24eb-4de7-9f43-f4cb89b9e75d,union,uncertainty,5,5,5,5,1678,1.64765E+12,5,5,5,1470,1.64765E+12,3,3,2,2,2583,1.64765E+12,4.043852998,7.41028732,5.727070159,5,5,5,5,2065,1.64765E+12,5,5,5,1501,1.64765E+12,3,3,2,2,2981,1.64765E+12,5.916307591,7.171250563,6.543779077,5,5,10,5,5,10,1.543779077,1.543779077,1.254942972,0.727070159,0.727070159,3.366434322,-0.816708918,0.816708918,2.11149135,2.11149135,0.611519613,0.616257604,-0.378305791,6,0.545861056,38,3,3.25,2.75
24,de1200dc-7bb2-4d6a-b15f-55a526011fe0,union,scatter,3,2,2,2,1779,1.64765E+12,1,5,1,1666,1.64765E+12,1,1,3,3,1445,1.64765E+12,4.291382857,5.690900903,4.99114188,2,3,2,2,2413,1.64765E+12,2,1,1,2386,1.64765E+12,1,1,1,3,1806,1.64765E+12,4.450821622,5.566892975,5.008857298,2.25,1.333333333,6,2.25,2.333333333,8,0.008857298,0.008857298,1.116071353,-0.00885812,0.00885812,1.399518045,-0.017715418,0.017715418,0.283446693,0.283446693,1.027750895,0.904593243,-0.161106032,6,1.091451577,43,1.5,5,1.25
25,de1200dc-7bb2-4d6a-b15f-55a526011fe0,covid,scatter,6,6,4,6,2002,1.64765E+12,3,5,2,1591,1.64765E+12,1,1,1,4,1938,1.64765E+12,6.000920723,6.833545383,6.417233053,7,7,6,7,1776,1.64765E+12,5,5,5,2510,1.64765E+12,1,1,1,5,1421,1.64765E+12,6.178074906,7.878755062,7.028414984,6.75,5,8,5.5,3.333333333,7,2.028414984,2.028414984,1.700680156,1.417233053,1.417233053,0.83262466,-0.611181931,0.611181931,-0.868055496,0.868055496,0.693553227,0.738186008,-0.066045937,6,0.829441081,43,1.5,5,1.25
26,b19bfbef-2aef-498f-91d8-eae19bcde86d,union,uncertainty,5,6,5,6,2436,1.64765E+12,6,5,5,2365,1.64765E+12,3,3,2,2,2032,1.64765E+12,4.820483611,5.085033875,4.952758743,9,8,8,8,2081,1.64765E+12,7,5,5,2283,1.64765E+12,3,3,1,2,2949,1.64765E+12,4.877172953,5.009448085,4.943310519,8.25,5.666666667,9,5.5,5.333333333,10,-0.056689481,0.056689481,0.132275132,-0.047241257,0.047241257,0.264550265,0.009448224,0.009448224,0.132275132,0.132275132,1.257149577,0.641299029,0.057825498,6,4.130285054,57,4,3.25,2
27,b19bfbef-2aef-498f-91d8-eae19bcde86d,covid,uncertainty,9,9,9,8,2502,1.64765E+12,8,5,8,14382,1.64765E+12,2,5,1,5,1932,1.64765E+12,1.031746038,1.031746038,1.031746038,9,9,9,8,2515,1.64765E+12,8,5,8,1748,1.64765E+12,5,5,1,5,1799,1.64765E+12,1.022297814,1.456916106,1.003401366,8.75,7,16,8.75,7,13,-3.996598634,3.996598634,0.434618292,-3.968253962,3.968253962,0,0.028344671,0.028344671,-0.434618292,0.434618292,0.76190257,0.682926355,0.13670324,6,1.519119349,57,4,3.25,2
28,abc0efde-29c6-4451-b605-284c30920afb,union,scatter,4,4,4,4,1321,1.64765E+12,3,3,3,3746,1.64765E+12,1,1,4,4,1800,1.64765E+12,3.555512659,6.494469637,5.024991148,9,9,9,9,2223,1.64765E+12,5,5,5,1741,1.64765E+12,1,1,1,1,3840,1.64765E+12,3.685466566,6.404501548,5.044984057,9,5,4,4,3,10,0.044984057,0.044984057,2.719034982,0.024991148,0.024991148,2.938956978,-0.019992909,0.019992909,0.219921996,0.219921996,0.46315057,0.463102105,0.576342891,6,0.85676316,48,3.5,4.25,3
29,abc0efde-29c6-4451-b605-284c30920afb,covid,scatter,9,9,9,9,1711,1.64765E+12,9,9,9,5272,1.64765E+12,3,3,3,3,3564,1.64765E+12,6.684402271,8.96359387,7.82399807,9,9,9,9,1488,1.64765E+12,9,9,9,2199,1.64765E+12,4,3,3,3,1765,1.64765E+12,5.614781652,8.373803061,6.994292356,9,9,13,9,9,12,1.994292356,1.994292356,2.75902141,2.82399807,2.82399807,2.279191599,0.829705714,0.829705714,-0.47982981,0.47982981,0.763676128,0.655842992,0.719657243,6,1.357608275,48,3.5,4.25,3
30,92bf63c0-8141-4ed7-8853-8bd0352f8273,union,uncertainty,5,5,4,6,3879,1.64765E+12,5,5,4,4178,1.64765E+12,3,3,3,3,2142,1.64765E+12,3.511905278,6.505810769,5.008858024,2,5,3,5,6165,1.64765E+12,2,5,5,2114,1.64765E+12,3,3,3,3,2175,1.64765E+12,1.775794088,8.224206539,5.000000314,3.75,4,12,5,4.666666667,12,3.14E-07,3.14E-07,6.448412451,0.008858024,0.008858024,2.993905491,0.00885771,0.00885771,-3.45450696,3.45450696,0.429480611,0.517785573,-0.087865013,6,0.785871331,46,3.25,3.75,3
31,92bf63c0-8141-4ed7-8853-8bd0352f8273,covid,uncertainty,8,8,8,8,1994,1.64765E+12,8,8,8,1845,1.64765E+12,4,4,4,4,2045,1.64765E+12,8.755669148,8.985969612,8.87081938,8,8,8,8,1980,1.64765E+12,8,8,8,5580,1.64765E+12,4,4,4,4,1776,1.64765E+12,8.764526858,8.994827322,8.87967709,8,8,16,8,8,16,3.87967709,3.87967709,0.230300464,3.87081938,3.87081938,0.230300464,-0.00885771,0.00885771,0,0,0.584166002,0.843172954,0.141544959,6,0.914474291,46,3.25,3.75,3
32,b3126809-6b3e-4d1f-a392-6d14d9fe5c96,union,hop,7,7,7,7,2742,1.64765E+12,6,5,5,2124,1.64765E+12,4,3,3,4,2518,1.64765E+12,7.352607571,7.692743626,7.522675599,8,8,8,8,8895,1.64765E+12,8,5,7,6802,1.64765E+12,4,4,4,4,2046,1.64765E+12,8.10846547,8.713151789,8.41080863,8,6.666666667,16,7,5.333333333,14,3.41080863,3.41080863,0.604686319,2.522675599,2.522675599,0.340136054,-0.888133031,0.888133031,-0.264550265,0.264550265,0.327125009,0.531531627,-0.070390164,6,0.65153786,48,2.75,5,1.5
33,b3126809-6b3e-4d1f-a392-6d14d9fe5c96,covid,hop,9,9,9,9,2653,1.64765E+12,9,9,9,2440,1.64765E+12,5,5,5,5,2214,1.64765E+12,1,8.854875145,8.939909159,9,9,9,9,1674,1.64765E+12,9,9,9,9481,1.64765E+12,5,5,5,5,1663,1.64765E+12,8.835978698,8.96825383,8.902116264,9,9,20,9,9,20,3.902116264,3.902116264,0.132275132,3.939909159,3.939909159,7.854875145,0.037792895,0.037792895,7.722600013,7.722600013,0.287277131,0.593598702,-0.059105203,6,0.545852083,48,2.75,5,1.5
34,441e8d34-afc6-4c50-b191-edb944b91c60,union,uncertainty,7,7,8,8,4386,1.64765E+12,7,4,5,8707,1.64765E+12,4,3,4,4,3202,1.64765E+12,6.036333952,8.74674587,7.391539911,8,9,9,8,6794,1.64765E+12,9,5,7,7824,1.64765E+12,5,4,5,5,3899,1.64765E+12,8.600596613,8.999186601,8.799891607,8.5,7,19,7.5,5.333333333,15,3.799891607,3.799891607,0.398589988,2.391539911,2.391539911,2.710411918,-1.408351696,1.408351696,2.31182193,2.31182193,0.347786503,0.292975058,0.035580015,6,1.35792783,29,3,5,1.5
35,441e8d34-afc6-4c50-b191-edb944b91c60,covid,uncertainty,7,7,7,6,3440,1.64765E+12,7,4,6,6264,1.64765E+12,4,4,5,5,3011,1.64765E+12,7.032808517,8.228579291,7.630693904,8,8,9,8,2929,1.64765E+12,7,5,6,6150,1.64765E+12,5,4,4,5,3401,1.64765E+12,1,6.833513928,8.49430595,8.25,6,18,6.75,5.666666667,18,3.49430595,3.49430595,5.833513928,2.630693904,2.630693904,1.195770775,-0.863612046,0.863612046,-4.637743154,4.637743154,0.648513356,0.611858073,0.012092686,6,1.510693559,29,3,5,1.5
36,1614f388-8f27-4958-ab23-33ce6afb0de2,covid,scatter,9,8,8,9,1043,1.64765E+12,7,6,7,319,1.64765E+12,1,1,3,2,661,1.64765E+12,1.360665527,4.834666389,3.097665958,7,9,8,9,1219,1.64765E+12,5,7,7,831,1.64765E+12,1,1,3,2,1084,1.64765E+12,1.563846649,4.412367998,2.988107323,8.25,6.333333333,7,8.5,6.666666667,7,-2.011892677,2.011892677,2.848521349,-1.902334042,1.902334042,3.474000862,0.109558635,0.109558635,0.625479513,0.625479513,0.311315855,0.528602774,0.160369313,6,5.575015533,47,3.75,2.5,3.75
37,1614f388-8f27-4958-ab23-33ce6afb0de2,union,scatter,6,6,5,7,928,1.64765E+12,5,5,5,1998,1.64765E+12,3,1,1,1,822,1.64765E+12,4.874506092,5.113542362,4.994024227,5,5,5,5,1164,1.64765E+12,3,5,3,649,1.64765E+12,2,1,1,1,1014,1.64765E+12,4.842634524,5.177285497,5.009960011,5,3.666666667,5,6,5,6,0.009960011,0.009960011,0.334650973,-0.005975773,0.005975773,0.23903627,-0.015935784,0.015935784,-0.095614703,0.095614703,0.442359818,0.501454168,0.101344224,6,0.71140463,47,3.75,2.5,3.75
38,6f42fb93-d176-4843-8da3-a2390ef94381,covid,hop,9,9,9,9,1675,1.64765E+12,9,8,8,2300,1.64765E+12,3,5,3,5,1627,1.64765E+12,1,8.87081938,8.985969612,9,9,9,9,1982,1.64765E+12,9,7,8,1585,1.64765E+12,3,5,3,5,3012,1.64765E+12,1,8.631661206,8.950538771,9,8,16,9,8.333333333,16,3.950538771,3.950538771,7.631661206,3.985969612,3.985969612,7.87081938,0.035430841,0.035430841,0.239158174,0.239158174,0.374149047,0.841840876,-0.224050326,6,2.372574497,38,1.75,5,1
39,6f42fb93-d176-4843-8da3-a2390ef94381,union,hop,6,8,5,7,1927,1.64765E+12,5,5,5,2727,1.64765E+12,3,2,3,3,2205,1.64765E+12,1,7.604166828,8.383645322,8,8,7,7,1733,1.64765E+12,5,5,7,1625,1.64765E+12,3,2,3,3,3994,1.64765E+12,1,8.064767756,8.977111902,7.5,5.666666667,11,6.5,5,11,3.977111902,3.977111902,7.064767756,3.383645322,3.383645322,6.604166828,-0.59346658,0.59346658,-0.460600928,0.460600928,0.830163804,0.93185513,0.018785117,6,0.908320552,38,1.75,5,1
40,a852b710-4360-4cab-944e-9347e26e75cb,covid,uncertainty,9,9,8,9,1176,1.64798E+12,9,8,7,944,1.64798E+12,3,4,3,4,1599,1.64798E+12,,,,8,9,8,9,1167,1.64798E+12,9,9,7,1359,1.64798E+12,3,4,3,4,1207,1.64798E+12,,,,8.5,8.333333333,14,8.75,8,14,,,,,,,,,,,0.399593922,0.536195817,-0.276912824,6,0.814703113,52,2.5,3.75,2.25
41,a852b710-4360-4cab-944e-9347e26e75cb,union,uncertainty,7,8,7,8,1353,1.64798E+12,7,7,6,1144,1.64798E+12,3,3,3,3,1071,1.64798E+12,,,,7,7,6,7,1576,1.64798E+12,7,5,5,2136,1.64798E+12,4,3,3,3,1024,1.64798E+12,,,,6.75,5.666666667,13,7.5,6.666666667,12,,,,,,,,,,,0.122922982,0.22599426,0.055581765,6,0.708836802,52,2.5,3.75,2.25
42,1e85b2ca-ecae-4c61-94c6-af37bfb57824,union,scatter,5,6,6,6,1346,1.64798E+12,3,5,6,1221,1.64798E+12,2,2,2,2,1057,1.64798E+12,,,,6,7,7,7,1293,1.64798E+12,7,6,6,979,1.64798E+12,2,2,2,2,1215,1.64798E+12,,,,6.75,6.333333333,8,5.75,4.666666667,8,,,,,,,,,,,0.216371785,0.43721346,0.012142679,6,0.529910009,45,3.5,4,3
43,1e85b2ca-ecae-4c61-94c6-af37bfb57824,covid,scatter,9,9,9,9,1051,1.64798E+12,5,5,5,3187,1.64798E+12,2,4,1,5,1153,1.64798E+12,,,,9,9,9,9,1043,1.64798E+12,5,5,5,1902,1.64798E+12,3,4,1,5,1221,1.64798E+12,,,,9,5,13,9,5,12,,,,,,,,,,,0.089742245,0.401932121,-0.027020984,6,0.490005525,45,3.5,4,3
44,15032dcf-a646-4e4c-ae60-aea078d4f05c,union,hop,8,9,8,8,1460,1.64798E+12,3,3,5,2007,1.64798E+12,2,1,1,3,1321,1.64798E+12,,,,7,8,9,8,4101,1.64798E+12,5,3,3,1459,1.64798E+12,2,1,1,3,1405,1.64798E+12,,,,8,3.666666667,7,8.25,3.666666667,7,,,,,,,,,,,0.290568481,0.34425001,0.285424579,6,1.120382652,56,3.5,4.75,4.25
